mp,dir,offset,length,mpRef,profLft62ft,profRt62ft,alignLeft,alignRight,dc
 210,-1,    0, 5330,209.99418,    NaN,555.57752,    NaN,    NaN,-0.16731
 210,-1,   15, 5330,209.99128,    NaN,555.51460,    NaN,    NaN, 0.21943
 210,-1,   31, 5330,209.98837,    NaN,555.51303,    NaN,    NaN, 0.34912
 210,-1,   46, 5330,209.98546,    NaN,555.54398,    NaN,    NaN,-1.35273
 210,-1,   62, 5330,209.98255,    NaN,555.50250,    NaN,    NaN,-0.88107
 210,-1,   77, 5330,209.97964,    NaN,555.42488,    NaN,    NaN, 0.71064
 210,-1,   93, 5330,209.97673,    NaN,555.39516,    NaN,    NaN,-0.02167
 210,-1,  108, 5330,209.97383,    NaN,555.45194,    NaN,    NaN,-0.02592
 210,-1,  124, 5330,209.97092,    NaN,555.39863,    NaN,    NaN, 0.45952
 210,-1,  139, 5330,209.96801,    NaN,555.41491,    NaN,    NaN,-0.15746
 210,-1,  155, 5330,209.96510,    NaN,555.41246,    NaN,    NaN,-0.30472
 210,-1,  170, 5330,209.96219,    NaN,555.38680,    NaN,    NaN, 0.08197
 210,-1,  186, 5330,209.95928,    NaN,555.38829,    NaN,    NaN,-0.18532
 210,-1,  201, 5330,209.95638,    NaN,555.39039,    NaN,    NaN, 0.06264
 210,-1,  217, 5330,209.95347,    NaN,555.37915,    NaN,    NaN,-0.38796
 210,-1,  232, 5330,209.95056,    NaN,555.35079,    NaN,    NaN,-0.16618
 210,-1,  248, 5330,209.94765,    NaN,555.26758,    NaN,    NaN, 0.32769
 210,-1,  263, 5330,209.94474,    NaN,555.25263,    NaN,    NaN,-0.09464
 210,-1,  279, 5330,209.94183,    NaN,555.24250,    NaN,    NaN,-0.01415
 210,-1,  294, 5330,209.93893,    NaN,555.26695,    NaN,    NaN, 0.78244
 210,-1,  310, 5330,209.93602,    NaN,555.22482,    NaN,    NaN, 0.31372
 210,-1,  325, 5330,209.93311,    NaN,555.33549,    NaN,    NaN,-0.75408
 210,-1,  341, 5330,209.93020,    NaN,555.30843,    NaN,    NaN,-0.00230
 210,-1,  356, 5330,209.92729,    NaN,555.36755,    NaN,    NaN, 0.05183
 210,-1,  372, 5330,209.92438,    NaN,555.36128,    NaN,    NaN,-0.15499
 210,-1,  387, 5330,209.92148,    NaN,555.37376,    NaN,    NaN, 0.35009
 210,-1,  403, 5330,209.91857,    NaN,555.39996,    NaN,    NaN, 0.27110
 210,-1,  418, 5330,209.91566,    NaN,555.41521,    NaN,    NaN,-0.21236
 210,-1,  434, 5330,209.91275,    NaN,555.49266,    NaN,    NaN,-0.46542
 210,-1,  449, 5330,209.90984,    NaN,555.54623,    NaN,    NaN,-0.34947
 210,-1,  465, 5330,209.90693,    NaN,555.58000,    NaN,    NaN, 0.05326
 210,-1,  480, 5330,209.90403,    NaN,555.58000,    NaN,    NaN, 0.45691
 210,-1,  496, 5330,209.90112,    NaN,555.58949,    NaN,    NaN, 0.54819
 210,-1,  511, 5330,209.89821,    NaN,555.63580,    NaN,    NaN,-0.37587
 210,-1,  527, 5330,209.89530,    NaN,555.62356,    NaN,    NaN,-0.41270
 210,-1,  542, 5330,209.89239,    NaN,555.56293,    NaN,    NaN,-0.00575
 210,-1,  558, 5330,209.88948,    NaN,555.54010,    NaN,    NaN, 0.25026
 210,-1,  573, 5330,209.88658,    NaN,555.42438,    NaN,    NaN, 0.23679
 210,-1,  589, 5330,209.88367,    NaN,555.45841,    NaN,    NaN,-0.18601
 210,-1,  604, 5330,209.88076,    NaN,555.40605,    NaN,    NaN,-0.31632
 210,-1,  620, 5330,209.87785,    NaN,555.40434,    NaN,    NaN,-0.14815
 210,-1,  635, 5330,209.87494,    NaN,555.41480,    NaN,    NaN, 0.27995
 210,-1,  651, 5330,209.87203,    NaN,555.43157,    NaN,    NaN,-0.05283
 210,-1,  666, 5330,209.86913,    NaN,555.43391,    NaN,    NaN, 0.16053
 210,-1,  682, 5330,209.86622,    NaN,555.47135,    NaN,    NaN, 0.31921
 210,-1,  697, 5330,209.86331,    NaN,555.42538,    NaN,    NaN, 0.02110
 210,-1,  713, 5330,209.86040,    NaN,555.41304,    NaN,    NaN,-0.36263
 210,-1,  728, 5330,209.85749,    NaN,555.42411,    NaN,    NaN,-0.39732
 210,-1,  744, 5330,209.85458,    NaN,555.39841,    NaN,    NaN, 0.22691
 210,-1,  759, 5330,209.85168,    NaN,555.40400,    NaN,    NaN, 0.17105
 210,-1,  775, 5330,209.84877,    NaN,555.43701,    NaN,    NaN,-0.15090
 210,-1,  790, 5330,209.84586,    NaN,555.43484,    NaN,    NaN,-0.17592
 210,-1,  806, 5330,209.84295,    NaN,555.45635,    NaN,    NaN,-0.16461
 210,-1,  821, 5330,209.84004,    NaN,555.44518,    NaN,    NaN, 0.33769
 210,-1,  837, 5330,209.83713,    NaN,555.47921,    NaN,    NaN,-0.10022
 210,-1,  852, 5330,209.83423,    NaN,555.46217,    NaN,    NaN,-0.25346
 210,-1,  868, 5330,209.83132,    NaN,555.45865,    NaN,    NaN, 0.13255
 210,-1,  883, 5330,209.82841,    NaN,555.45193,    NaN,    NaN, 0.05250
 210,-1,  899, 5330,209.82550,    NaN,555.46700,    NaN,    NaN,-0.01340
 210,-1,  914, 5330,209.82259,    NaN,555.47264,    NaN,    NaN, 0.21362
 210,-1,  930, 5330,209.81968,    NaN,555.50727,    NaN,    NaN, 0.07217
 210,-1,  945, 5330,209.81678,    NaN,555.49789,    NaN,    NaN,-0.25882
 210,-1,  961, 5330,209.81387,    NaN,555.50568,    NaN,    NaN,-0.44579
 210,-1,  976, 5330,209.81096,    NaN,555.47151,    NaN,    NaN, 0.41241
 210,-1,  992, 5330,209.80805,    NaN,555.48833,    NaN,    NaN, 0.40756
 210,-1, 1007, 5330,209.80514,    NaN,555.48524,    NaN,    NaN,-0.21544
 210,-1, 1023, 5330,209.80223,    NaN,555.51141,    NaN,    NaN, 0.00118
 210,-1, 1038, 5330,209.79933,    NaN,555.49669,    NaN,    NaN,-0.14130
 210,-1, 1054, 5330,209.79642,    NaN,555.49718,    NaN,    NaN,-0.12472
 210,-1, 1069, 5330,209.79351,    NaN,555.52945,    NaN,    NaN, 0.27642
 210,-1, 1085, 5330,209.79060,    NaN,555.58660,    NaN,    NaN, 0.09867
 210,-1, 1100, 5330,209.78769,    NaN,555.64876,    NaN,    NaN,-0.13727
 210,-1, 1116, 5330,209.78478,    NaN,555.63764,    NaN,    NaN,-0.53173
 210,-1, 1131, 5330,209.78188,    NaN,555.71391,    NaN,    NaN,-0.28778
 210,-1, 1147, 5330,209.77897,    NaN,555.72374,    NaN,    NaN, 0.06556
 210,-1, 1162, 5330,209.77606,    NaN,555.69036,    NaN,    NaN, 0.42293
 210,-1, 1178, 5330,209.77315,    NaN,555.73500,    NaN,    NaN,-0.04227
 210,-1, 1193, 5330,209.77024,    NaN,555.73103,    NaN,    NaN,-0.10733
 210,-1, 1209, 5330,209.76733,    NaN,555.75943,    NaN,    NaN,-0.13027
 210,-1, 1224, 5330,209.76443,    NaN,555.78146,    NaN,    NaN, 0.12463
